temp,hum,pres,lux,uv,prec,label
27.74,45.07,1002.43,73.33,0,0,maize
27.73,45.6,1002.45,72.5,0,0,maize
27.73,46.22,1002.44,72.5,0,0,maize
27.75,46.67,1002.43,72.5,0,0,maize
27.78,46.96,1002.46,73.33,0,0,maize
27.79,47.04,1002.45,73.33,0,0,maize
27.8,47.57,1002.48,73.33,0,0,maize
27.8,47.81,1002.48,73.33,0,0,maize
27.85,48.07,1002.48,73.33,0,0,maize
27.87,48.24,1002.48,74.17,0,0,maize
27.89,48.52,1002.48,74.17,0,0,maize
27.88,48.75,1002.43,73.33,0,0,maize
27.96,48.6,1002.49,73.33,0,0,maize
27.92,48.79,1002.48,72.5,0,0,maize
27.97,49.39,1002.48,60,1,0,maize
27.99,49.62,1002.5,62.5,1,0,maize
28.04,49.46,1002.49,72.5,1,0,maize
28.02,49.57,1002.52,71.67,1,0,maize
28.04,49.73,1002.52,71.67,1,0,maize
28.07,50.01,1002.53,71.67,1,0,maize
28.09,50.31,1002.53,71.67,1,0,maize
28.09,49.7,1002.53,72.5,1,0,maize
28.1,49.93,1002.55,71.67,1,0,maize
28.11,49.62,1002.56,72.5,1,0,maize
28.14,49.88,1002.56,71.67,1,0,maize
28.15,49.78,1002.57,72.5,1,0,maize
28.16,49.88,1002.56,71.67,1,0,maize
28.2,49.98,1002.58,72.5,1,0,maize
28.19,49.77,1002.61,71.67,1,0,maize
28.2,49.97,1002.61,73.33,1,0,maize
28.2,49.96,1002.62,72.5,1,0,maize
28.22,49.9,1002.61,72.5,1,0,maize
28.23,50.1,1002.61,72.5,1,0,maize
28.29,50.36,1002.66,72.5,1,0,maize
28.32,50.24,1002.65,72.5,1,0,maize
28.31,50.17,1002.66,72.5,1,0,maize
28.32,50.05,1002.67,72.5,1,0,maize
28.34,50.43,1002.69,72.5,1,0,maize
28.36,50.52,1002.67,72.5,1,0,maize
28.38,50.24,1002.71,72.5,1,0,cotton
28.4,50.16,1002.71,72.5,1,0,cotton
28.44,50.16,1002.71,72.5,1,0,cotton
28.44,50.08,1002.75,72.5,1,0,cotton
28.45,50.07,1002.75,72.5,1,0,cotton
28.47,50.03,1002.74,72.5,1,0,cotton
28.53,50.01,1002.74,72.5,1,0,cotton
28.51,50.08,1002.75,72.5,1,0,cotton
28.52,50.23,1002.73,71.67,1,0,cotton
28.55,50.13,1002.78,71.67,1,0,cotton
28.54,49.95,1002.76,71.67,1,0,cotton
28.55,50.17,1002.8,72.5,1,0,cotton
28.57,50.17,1002.78,71.67,1,0,cotton
28.57,50.35,1002.81,71.67,1,0,cotton
28.59,50.06,1002.85,71.67,1,0,cotton
28.6,50.23,1002.85,71.67,1,0,cotton
28.62,49.85,1002.85,71.67,1,0,cotton
28.62,50.11,1002.85,70.83,1,0,cotton
28.65,49.88,1002.83,70.83,1,0,cotton
28.66,50.13,1002.85,71.67,1,0,cotton
28.68,50.08,1002.86,70.83,1,0,cotton
28.73,49.98,1002.85,71.67,1,0,cotton
28.73,50.04,1002.86,71.67,1,0,cotton
28.71,50.08,1002.85,71.67,1,0,cotton
28.73,50.29,1002.87,71.67,1,0,cotton
28.72,49.96,1002.88,69.17,1,0,cotton
28.73,49.62,1002.89,70,1,0,cotton
28.72,49.15,1002.87,3.33,1,0,cotton
28.78,48.56,1002.92,3.33,1,0,cotton
28.78,48.12,1002.88,3.33,1,0,cotton
28.78,47.9,1002.89,3.33,1,0,cotton
28.79,47.48,1002.87,3.33,1,0,cotton
28.78,46.97,1002.91,3.33,1,0,cotton
